Nome da Microrregião;Município;
Passos;Passos;81.89
Passos;Pratápolis;81.89
Passos;São João Batista do Glória;81.89
Passos;São José da Barra;81.89
São Sebastião do Paraíso;Arceburgo;12.57
São Sebastião do Paraíso;Cabo Verde;12.57
São Sebastião do Paraíso;Guaranésia;12.57
São Sebastião do Paraíso;Guaxupé;12.57
São Sebastião do Paraíso;Itamoji;12.57
São Sebastião do Paraíso;Jacuí;12.57
São Sebastião do Paraíso;Juruaia;12.57
São Sebastião do Paraíso;Monte Belo;12.57
São Sebastião do Paraíso;Monte Santo de Minas;12.57
São Sebastião do Paraíso;Muzambinho;12.57
São Sebastião do Paraíso;Nova Resende;12.57
São Sebastião do Paraíso;São Pedro da União;12.57
São Sebastião do Paraíso;São Sebastião do Paraíso;12.57
São Sebastião do Paraíso;São Tomás de Aquino;12.57
Alfenas;Alfenas;70.47
Alfenas;Alterosa;70.47
Alfenas;Areado;70.47
Alfenas;Carmo do Rio Claro;70.47
Alfenas;Carvalhópolis;70.47
Alfenas;Conceição da Aparecida;70.47
Alfenas;Divisa Nova;70.47
Alfenas;Fama;70.47
Alfenas;Machado;70.47
Alfenas;Paraguaçu;70.47
Alfenas;Poço Fundo;70.47
Alfenas;Serrania;70.47
Varginha;Boa Esperança;13.76
Varginha;Campanha;13.76
Varginha;Campo do Meio;13.76
Varginha;Campos Gerais;13.76
Varginha;Carmo da Cachoeira;13.76
Varginha;Coqueiral;13.76
Varginha;Elói Mendes;13.76
Varginha;Guapé;13.76
Varginha;Ilicínea;13.76
Varginha;Monsenhor Paulo;13.76
Varginha;Santana da Vargem;13.76
Varginha;São Bento Abade;13.76
Varginha;São Tomé das Letras;13.76
Varginha;Três Corações;13.76
Varginha;Três Pontas;13.76
Varginha;Varginha;13.76
Poços de Caldas;Albertina;8.71
Poços de Caldas;Andradas;8.71
Poços de Caldas;Bandeira do Sul;8.71
Poços de Caldas;Botelhos;8.71
Poços de Caldas;Caldas;8.71
Poços de Caldas;Campestre;8.71
Poços de Caldas;Ibitiúra de Minas;8.71
Poços de Caldas;Inconfidentes;8.71
Poços de Caldas;Jacutinga;8.71
Poços de Caldas;Monte Sião;8.71
Poços de Caldas;Ouro Fino;8.71
Poços de Caldas;Poços de Caldas;8.71
Poços de Caldas;Santa Rita de Caldas;8.71
Pouso Alegre;Bom Repouso;5.6
Pouso Alegre;Borda da Mata;5.6
Pouso Alegre;Bueno Brandão;5.6
Pouso Alegre;Camanducaia;5.6
Pouso Alegre;Cambuí;5.6
Pouso Alegre;Congonhal;5.6
Pouso Alegre;Córrego do Bom Jesus;5.6
Pouso Alegre;Espírito Santo do Dourado;5.6
Pouso Alegre;Estiva;5.6
Pouso Alegre;Extrema;5.6
Pouso Alegre;Gonçalves;5.6
Pouso Alegre;Ipuiúna;5.6
Pouso Alegre;Itapeva;5.6
Pouso Alegre;Munhoz;5.6
Pouso Alegre;Pouso Alegre;5.6
Pouso Alegre;Sapucaí-Mirim;5.6
Pouso Alegre;Senador Amaral;5.6
Pouso Alegre;Senador José Bento;5.6
Pouso Alegre;Tocos do Moji;5.6
Pouso Alegre;Toledo;5.6
Santa Rita do Sapucaí;Cachoeira de Minas;27.43
Santa Rita do Sapucaí;Careaçu;27.43
Santa Rita do Sapucaí;Conceição das Pedras;27.43
Santa Rita do Sapucaí;Conceição dos Ouros;27.43
Santa Rita do Sapucaí;Cordislândia;27.43
Santa Rita do Sapucaí;Heliodora;27.43
Santa Rita do Sapucaí;Natércia;27.43
Santa Rita do Sapucaí;Pedralva;27.43
Santa Rita do Sapucaí;Santa Rita do Sapucaí;27.43
Santa Rita do Sapucaí;São Gonçalo do Sapucaí;27.43
Santa Rita do Sapucaí;São João da Mata;27.43
Santa Rita do Sapucaí;São José do Alegre;27.43
Santa Rita do Sapucaí;São Sebastião da Bela Vista;27.43
Santa Rita do Sapucaí;Silvianópolis;27.43
Santa Rita do Sapucaí;Turvolândia;27.43
São Lourenço;Alagoa;32.88
São Lourenço;Baependi;32.88
São Lourenço;Cambuquira;32.88
São Lourenço;Carmo de Minas;32.88
São Lourenço;Caxambu;32.88
São Lourenço;Conceição do Rio Verde;32.88
São Lourenço;Itamonte;32.88
São Lourenço;Itanhandu;32.88
São Lourenço;Jesuânia;32.88
São Lourenço;Lambari;32.88
São Lourenço;Olímpio Noronha;32.88
São Lourenço;Passa-Quatro;32.88
São Lourenço;Pouso Alto;32.88
São Lourenço;São Lourenço;32.88
São Lourenço;São Sebastião do Rio Verde;32.88
São Lourenço;Soledade de Minas;32.88
Andrelândia;Aiuruoca;3.37
Andrelândia;Andrelândia;3.37
Andrelândia;Arantina;3.37
Andrelândia;Bocaina de Minas;3.37
Andrelândia;Bom Jardim de Minas;3.37
Andrelândia;Carvalhos;3.37
Andrelândia;Cruzília;3.37
Andrelândia;Liberdade;3.37
Andrelândia;Minduri;3.37
Andrelândia;Passa-Vinte;3.37
Andrelândia;São Vicente de Minas;3.37
Andrelândia;Seritinga;3.37
Andrelândia;Serranos;3.37
Itajubá;Brazópolis;5
Itajubá;Consolação;5
Itajubá;Cristina;5
Itajubá;Delfim Moreira;5
Itajubá;Dom Viçoso;5
Itajubá;Itajubá;5
Itajubá;Maria da Fé;5
Itajubá;Marmelópolis;5
Itajubá;Paraisópolis;5
Itajubá;Piranguçu;5
Itajubá;Piranguinho;5
Itajubá;Wenceslau Braz;5
Itajubá;Virgínia;5
Lavras;Carrancas;37.08
Lavras;Ijaci;37.08
Lavras;Ingaí;37.08
Lavras;Itumirim;37.08
Lavras;Itutinga;37.08
Lavras;Lavras;37.08
Lavras;Luminárias;37.08
Lavras;Nepomuceno;37.08
Lavras;Ribeirão Vermelho;37.08
São João Del-Rei;Conceição da Barra de Minas;33.13
São João Del-Rei;Coronel Xavier Chaves;33.13
São João Del-Rei;Dores de Campos;33.13
São João Del-Rei;Lagoa Dourada;33.13
São João Del-Rei;Madre de Deus de Minas;33.13
São João Del-Rei;Nazareno;33.13
São João Del-Rei;Piedade do Rio Grande;33.13
São João Del-Rei;Prados;33.13
São João Del-Rei;Resende Costa;33.13
São João Del-Rei;Ritápolis;33.13
São João Del-Rei;Santa Cruz de Minas;33.13
São João Del-Rei;Santana do Garambéu;33.13
São João Del-Rei;São João del Rei;33.13
São João Del-Rei;São Tiago;33.13
São João Del-Rei;Tiradentes;33.13
Barbacena;Alfredo Vasconcelos;14.07
Barbacena;Antônio Carlos;14.07
Barbacena;Barbacena;14.07
Barbacena;Barroso;14.07
Barbacena;Capela Nova;14.07
Barbacena;Caranaíba;14.07
Barbacena;Carandaí;14.07
Barbacena;Desterro do Melo;14.07
Barbacena;Ibertioga;14.07
Barbacena;Ressaquinha;14.07
Barbacena;Santa Bárbara do Tugúrio;14.07
Barbacena;Senhora dos Remédios;14.07
Ponte Nova;Acaiaca;100
Ponte Nova;Barra Longa;100
Ponte Nova;Dom Silvério;100
Ponte Nova;Guaraciaba;100
Ponte Nova;Jequeri;100
Ponte Nova;Oratórios;100
Ponte Nova;Piedade de Ponte Nova;100
Ponte Nova;Ponte Nova;100
Ponte Nova;Raul Soares;100
Ponte Nova;Rio Casca;100
Ponte Nova;Rio Doce;100
Ponte Nova;Santa Cruz do Escalvado;100
Ponte Nova;Santo Antônio do Grama;100
Ponte Nova;São Pedro dos Ferros;100
Ponte Nova;Sem-Peixe;100
Ponte Nova;Sericita;100
Ponte Nova;Urucânia;100
Ponte Nova;Vermelho Novo;100
